,tweet_id,text,favorite_count,retweet_count,created_at
128,1398159756208922626,"RT @shamaineothman: Nak bagitahu uolz skrg dekat UK, political adviser PM diorang baru dok bongkar strategi PM diorang masa lockdown tahun…",0,1483,Fri May 28 06:10:37 +0000 2021
129,1398159756183834626,RT @azmanrocks: Kenapa kita perlu lockdown? Sebab kita mesti kurangkan kes aktif sampailah semua PKRC tutup menjelang bulan Ogos. Bulan Sep…,0,7325,Fri May 28 06:10:37 +0000 2021
130,1398159755898626048,"RT @ANINewsUP: Noida | Garment industry facing brunt of #COVID19 in India

After COVID hit China first, buyers shifted their orders to Indi…",0,4,Fri May 28 06:10:37 +0000 2021
131,1398159754816495625,"Victoria, welcome to your lockdown weekend!

(Currently starting up Steam ...)",0,0,Fri May 28 06:10:36 +0000 2021
132,1398159754694782977,"RT @yvs_raizada: A policeman was beaten up by the pissfulls at Civil Lines, Bareilly....when he was cutting a challan for implementing lock…",0,43,Fri May 28 06:10:36 +0000 2021
133,1398159754246119427,"As cases of the 'dominant' Indian variant have more than doubled in the last week, the PM has said we 'may have to… https://t.co/tHUoMBXujT",0,0,Fri May 28 06:10:36 +0000 2021
134,1398159753407311872,"RT @yaneerbaryam: Australia has been enjoying pre-pandemic life for many months except for few day ""snap lockdowns."" 

Victoria, the 2nd mo…",0,127,Fri May 28 06:10:36 +0000 2021
135,1398159752908001282,"RT @felixsthetic: STREAMING, VOTING, AND CREATING WF ACCS IS OUR JOB RN! WE'RE ON STAY LOCKDOWN, DON'T ENGAGE ON ANY FANWARS",0,1020,Fri May 28 06:10:36 +0000 2021
136,1398159752782360576,"RT @JTAH_1990: BLOG | 2021: I'M JUST GOING FOR A WALK... PART 1-4! 

https://t.co/xn7WKwHcu9  

https://t.co/0yLZICRcsQ  

https://t.co/1zj…",0,1,Fri May 28 06:10:36 +0000 2021
137,1398159752111198210,RT @dominiquetaegon: The whole Dom Cummings saga has made the lockdown ideologues bleat endlessly on about ‘preventable deaths’ more than u…,0,29,Fri May 28 06:10:36 +0000 2021
